device_id,virtual_client_id,num_examples,radius_m,angle_rad,x_m,y_m,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
0,0,75,490.4674285348789,3.1738995362067826,-490.2114918684042,-15.842717373291887,0,1,0,74,0,0,0,0,0,0
1,0,112,361.6773230955695,0.16298265984422844,356.88426697831545,58.68650632749766,0,0,0,0,0,76,36,0,0,0
2,0,224,274.78340440770967,0.5154967449813678,239.07473789649907,135.45917849157058,0,2,25,193,3,0,0,0,1,0
3,0,60,371.5596383619438,3.2459408847982902,-369.5385997359994,-38.70126825848625,0,14,3,43,0,0,0,0,0,0
4,0,52,287.73718396734813,2.1582891947425216,-159.48581495588473,239.49313531981835,0,0,44,0,1,0,0,6,0,1
5,0,38,496.8207433324704,3.0785972719696755,-495.83527307714013,31.276716227031685,0,2,1,9,8,0,0,7,11,0
6,0,255,382.07816949014125,1.4575165068128029,43.189238114422636,379.62931566467944,1,0,0,139,12,3,0,10,90,0
7,0,168,252.92910103355504,2.5535122755371904,-210.43882057588417,140.31618917385524,27,0,8,84,0,0,7,0,0,42
8,0,62,393.58563227532574,4.5190857950638375,-75.60842998453316,-386.2551167930878,1,56,5,0,0,0,0,0,0,0
9,0,118,128.22560033790126,6.03442502546451,124.2786096960932,-31.569475035567393,0,0,3,113,0,0,0,2,0,0
10,0,293,398.6609854138698,2.6261177995751868,-346.85847546838255,196.51915755698514,244,13,0,0,0,26,0,10,0,0
11,0,2,184.56611946256038,0.8994710010681625,114.80460394883278,144.51489669103236,0,0,1,0,0,0,0,1,0,0
12,1,1564,519.2429168057155,5.405584059923019,331.7952483569886,-399.40595866941123,0,0,534,81,0,6,84,858,1,0
13,1,112,272.7225789381613,3.8452462972936035,-207.9464244224932,-176.4536472634724,0,0,2,0,3,2,7,11,87,0
14,1,36,483.78573872989597,0.4777667413128442,429.6133383155966,222.44329735858508,0,0,4,0,12,0,1,0,0,19
15,1,56,519.4134380723592,5.784100292641981,456.055834564169,-248.60288697062197,7,0,1,0,0,0,0,0,0,48
16,1,409,457.77769010845736,0.4702079771507635,408.0969446370842,207.40611692742198,0,1,1,0,0,0,0,0,397,10
17,1,146,371.9773416923275,3.3227777376170584,-365.88838391036273,-67.02860025357546,0,0,0,38,0,0,18,0,17,73
18,1,451,192.73869487670333,4.079410567499369,-114.01433996606042,-155.39927536793263,2,33,0,0,341,29,11,0,8,27
19,1,473,532.1810432573344,3.5395651471461984,-490.5903754948561,-206.2468091250891,0,125,0,7,0,57,0,0,284,0
20,1,3,275.16926983776,4.09262531384759,-159.83008850573623,-223.99212010982552,0,0,0,0,0,0,0,0,0,3
21,1,178,265.51506578129704,4.270296457531731,-113.59577383626913,-239.98802120811297,24,70,0,0,0,82,1,1,0,0
22,1,285,207.4522898639769,3.1611263239482317,-207.41271293086288,-4.052046947773453,0,18,256,4,3,0,4,0,0,0
23,1,340,329.5695305074107,2.470793842880754,-258.1601729750991,204.86434665002602,6,0,0,188,0,0,0,115,23,8
24,1,30,413.5419178369083,3.5761099207991176,-375.11285908265756,-174.08980659149032,14,0,1,0,0,6,0,2,7,0
25,2,65,479.06110685758097,1.386012514368108,88.0198280802894,470.9055679946107,12,0,45,0,0,0,0,0,8,0
26,2,32,294.1450875328441,0.13079865118838344,291.6325134413711,38.36417109195839,0,0,0,0,0,12,15,0,5,0
27,2,678,34.926743227516376,2.424058602647788,-26.31483696378515,22.965337969432714,0,0,668,9,0,0,0,1,0,0
28,2,1082,203.24444994514093,3.955662608116106,-139.53644353568464,-147.7764776915311,0,0,0,0,800,282,0,0,0,0
29,2,375,458.3527672480624,2.663154714480116,-406.88670356419453,211.0224388699452,188,12,0,3,1,127,0,0,19,25
30,2,2,247.4723068152236,0.33109398170456106,234.03141279273453,80.44774991685505,0,0,1,0,1,0,0,0,0,0
31,2,77,78.31797689682737,0.39363799314716413,72.32820388604402,30.038915223936307,0,2,0,0,0,14,0,14,47,0
32,2,4,510.3839856417879,2.064211005845625,-241.73624069788823,449.50573159065436,3,0,0,0,0,0,1,0,0,0
33,2,3,463.9432407189378,6.272953963304335,463.91895804933904,-4.7466800193240095,0,0,0,0,0,2,0,0,1,0
34,2,98,518.7689813630911,0.8945761526500957,324.67128153162435,404.6106955742914,12,16,0,0,67,1,2,0,0,0
35,2,13,482.6506453581826,4.375125053869003,-159.7121880241896,-455.4598362766975,0,0,7,0,0,1,0,0,0,5
36,2,80,396.0500641632131,5.286805998777361,215.1920061248028,-332.4876746943683,32,0,3,0,0,44,0,0,1,0
37,3,93,442.6325033379362,2.7426773211159468,-407.8782569312811,171.92690462492465,0,0,5,2,76,0,0,7,1,2
38,3,285,530.7273757034001,3.065508738320726,-529.1919893077995,40.34086976593089,0,68,2,46,6,0,0,29,134,0
39,3,153,197.35125607760176,5.345133981472537,116.70575166623925,-159.1454862804008,0,0,2,10,0,0,29,0,0,112
40,3,3,326.4062597996715,6.2699677170919434,326.37774786292766,-4.3141785236437284,0,1,0,0,0,0,2,0,0,0
41,3,4,462.8203939719845,5.9117206090117875,431.2545103599872,-167.99483435674637,3,0,0,0,1,0,0,0,0,0
42,3,58,163.3278020724751,0.3638514758956482,152.63523879387105,58.12447684206333,12,9,0,5,1,16,3,0,12,0
43,3,1,271.3032554689295,3.857893913135462,-204.62762462879027,-178.13756388481943,0,0,0,0,0,0,1,0,0,0
44,3,102,394.5404658477517,5.255650337272892,203.9500186357755,-337.7374262497832,0,0,0,1,3,0,0,0,0,98
45,3,2,399.2941957890928,2.7886529801411424,-374.6819602405036,138.0191416477875,1,0,1,0,0,0,0,0,0,0
46,3,48,342.6954868921892,0.15499575149570433,338.5873173593828,52.903924803848106,37,1,0,0,0,1,0,7,0,2
47,3,21,249.32788320523036,1.6398080213030586,-17.19288494239354,248.7343925776221,0,1,0,16,4,0,0,0,0,0
48,3,334,345.16871175329607,6.175871470061512,343.1830921753757,-36.9703234821876,0,36,1,27,0,0,0,223,0,47
49,3,166,260.99446532853915,5.832425601480739,234.92539770103787,-113.70210396971207,2,51,0,13,0,0,0,0,0,100
50,4,14,512.4147341853131,4.810290372805616,50.08601665290906,-509.9610286541999,0,10,0,1,1,0,0,0,0,2
51,4,26,439.42159618694393,2.8685338169985437,-423.1412462032494,118.5024259542508,0,0,11,0,11,3,0,0,0,1
52,4,26,464.7900413267482,5.277562652447477,248.9241115721193,-392.5131452506418,0,9,0,0,0,0,7,0,0,10
53,4,427,385.15233525000343,4.982057395930648,102.60914639103636,-371.23265538666436,0,0,2,321,1,0,2,101,0,0
54,4,3,530.5746885236875,4.131226103072369,-291.2835246741672,-443.4674828613726,0,0,0,0,0,0,3,0,0,0
55,4,69,321.6262409200987,5.9827083364166365,307.21591419637815,-95.19359701617016,3,0,21,2,1,0,38,0,4,0
56,4,2,336.876853931421,4.436417616942673,-91.79276887316826,-324.1297615112335,0,0,0,0,0,2,0,0,0,0
57,4,236,424.82959356888534,3.414469970958966,-409.1106593954339,-114.4930213634768,60,3,2,152,0,6,1,12,0,0
