device_id,virtual_client_id,num_examples,radius_m,angle_rad,x_m,y_m,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
0,0,167,490.4674285348789,3.1738995362067826,-490.2114918684042,-15.842717373291887,46,10,13,0,4,60,1,1,1,31
1,0,167,361.6773230955695,0.16298265984422844,356.88426697831545,58.68650632749766,51,1,0,0,1,86,7,16,0,5
2,0,167,274.78340440770967,0.5154967449813678,239.07473789649907,135.45917849157058,25,40,5,0,4,55,2,24,0,12
3,0,167,371.5596383619438,3.2459408847982902,-369.5385997359994,-38.70126825848625,3,11,3,17,66,14,44,1,0,8
4,0,167,287.73718396734813,2.1582891947425216,-159.48581495588473,239.49313531981835,0,11,15,131,2,7,0,0,1,0
5,0,167,496.8207433324704,3.0785972719696755,-495.83527307714013,31.276716227031685,150,2,5,0,0,0,0,0,7,3
6,0,167,382.07816949014125,1.4575165068128029,43.189238114422636,379.62931566467944,15,26,0,0,9,88,2,21,0,6
7,0,167,252.92910103355504,2.5535122755371904,-210.43882057588417,140.31618917385524,1,3,2,0,5,0,23,13,111,9
8,0,167,393.58563227532574,4.5190857950638375,-75.60842998453316,-386.2551167930878,59,0,46,16,0,39,4,0,2,1
9,0,167,128.22560033790126,6.03442502546451,124.2786096960932,-31.569475035567393,66,0,5,8,29,0,22,4,28,5
10,0,167,398.6609854138698,2.6261177995751868,-346.85847546838255,196.51915755698514,7,4,4,83,0,47,0,0,5,17
11,0,167,184.56611946256038,0.8994710010681625,114.80460394883278,144.51489669103236,0,26,1,47,0,44,9,39,1,0
12,1,167,519.2429168057155,5.405584059923019,331.7952483569886,-399.40595866941123,0,1,70,1,5,0,0,0,87,3
13,1,167,272.7225789381613,3.8452462972936035,-207.9464244224932,-176.4536472634724,20,2,0,21,0,27,0,68,14,15
14,1,167,483.78573872989597,0.4777667413128442,429.6133383155966,222.44329735858508,0,0,10,2,0,3,135,1,16,0
15,1,167,519.4134380723592,5.784100292641981,456.055834564169,-248.60288697062197,8,3,15,15,95,24,0,0,0,7
16,1,167,457.77769010845736,0.4702079771507635,408.0969446370842,207.40611692742198,0,2,135,22,2,0,0,0,5,1
17,1,167,371.9773416923275,3.3227777376170584,-365.88838391036273,-67.02860025357546,0,6,0,0,31,74,6,21,7,22
18,1,167,192.73869487670333,4.079410567499369,-114.01433996606042,-155.39927536793263,13,55,0,0,0,5,0,1,93,0
19,1,167,532.1810432573344,3.5395651471461984,-490.5903754948561,-206.2468091250891,55,3,0,16,0,0,47,7,39,0
20,1,167,275.16926983776,4.09262531384759,-159.83008850573623,-223.99212010982552,1,23,1,0,0,0,19,8,2,113
21,1,167,265.51506578129704,4.270296457531731,-113.59577383626913,-239.98802120811297,19,1,82,0,9,1,17,9,1,28
22,1,167,207.4522898639769,3.1611263239482317,-207.41271293086288,-4.052046947773453,16,0,2,24,17,27,0,1,13,67
23,1,167,329.5695305074107,2.470793842880754,-258.1601729750991,204.86434665002602,0,3,20,48,17,0,78,1,0,0
24,1,167,413.5419178369083,3.5761099207991176,-375.11285908265756,-174.08980659149032,45,3,2,0,8,2,0,7,0,100
25,2,167,479.06110685758097,1.386012514368108,88.0198280802894,470.9055679946107,0,0,64,0,16,3,0,3,8,73
26,2,167,294.1450875328441,0.13079865118838344,291.6325134413711,38.36417109195839,20,16,5,38,18,0,14,56,0,0
27,2,167,34.926743227516376,2.424058602647788,-26.31483696378515,22.965337969432714,24,0,84,3,5,0,17,32,2,0
28,2,167,203.24444994514093,3.955662608116106,-139.53644353568464,-147.7764776915311,64,64,0,0,0,27,0,1,11,0
29,2,167,458.3527672480624,2.663154714480116,-406.88670356419453,211.0224388699452,1,41,12,72,3,31,0,0,7,0
30,2,167,247.4723068152236,0.33109398170456106,234.03141279273453,80.44774991685505,5,0,28,0,0,35,38,5,8,48
31,2,167,78.31797689682737,0.39363799314716413,72.32820388604402,30.038915223936307,0,0,0,1,26,2,0,61,69,8
32,2,167,510.3839856417879,2.064211005845625,-241.73624069788823,449.50573159065436,14,4,9,3,78,5,19,0,19,16
