schema_version,run_id,round,physical_client_id,virtual_client_id,selected,selected_count,selection_policy,selection_score,selection_probability,selection_reason,num_examples,label_entropy,dominant_label,kl_to_global_label_distribution,distance_m,angle_rad,channel_gain,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,outage
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,0,0,1,300,random,,1.0,random_uniform,68,0.07081055490819625,3,2.2089094885596023,490.4674285348789,3.1738995362067826,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,1,0,1,300,random,,1.0,random_uniform,101,0.627941588739906,5,1.7479275202290525,361.6773230955695,0.16298265984422844,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,2,0,1,300,random,,1.0,random_uniform,202,0.49712268887525346,3,1.7870656882385882,274.78340440770967,0.5154967449813678,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,3,0,1,300,random,,1.0,random_uniform,54,0.7281071546314151,3,1.532144314993967,371.5596383619438,3.2459408847982902,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,4,0,1,300,random,,1.0,random_uniform,47,0.5424956280473539,2,1.7617239060772953,287.73718396734813,2.1582891947425216,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,5,0,1,300,random,,1.0,random_uniform,35,1.5903475561802325,8,0.7061063978321973,496.8207433324704,3.0785972719696755,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,6,0,1,300,random,,1.0,random_uniform,230,1.0431642721063052,3,1.257328427832494,382.07816949014125,1.4575165068128029,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,7,0,1,300,random,,1.0,random_uniform,152,1.264349492321815,3,1.032554209297049,252.92910103355504,2.5535122755371904,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,8,0,1,300,random,,1.0,random_uniform,56,0.36153947789446483,1,1.8365068925499755,393.58563227532574,4.5190857950638375,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,9,0,1,300,random,,1.0,random_uniform,107,0.20393077072313337,3,2.077417173602598,128.22560033790126,6.03442502546451,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,10,0,1,300,random,,1.0,random_uniform,264,0.6208219280032783,0,1.6948761476345018,398.6609854138698,2.6261177995751868,,,,,,,
bayesfl_observability_v1,debug_ola_mnist_safe_allclients,1,11,0,1,300,random,,1.0,random_uniform,2,0.6931471805599453,2,1.5913406603425941,184.56611946256038,0.8994710010681625,,,,,,,
