schema_version,run_id,physical_client_id,device_id,virtual_client_id,num_examples,radius_m,distance_m,angle_rad,x_m,y_m,device_group_size,hardware_class,max_compute_flops,battery_level_init,mobility_class,default_channel_gain,default_pathloss_db,default_noise_power,label_entropy,dominant_label,dominant_label_fraction,kl_to_global_label_distribution,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
bayesfl_observability_v1,,0,0,0,441,490.4674285348789,490.4674285348789,3.1738995362067826,-490.2114918684042,-15.842717373291887,5,synthetic,,,static,,,,1.007167008061116,3,0.7402862985685071,1.276758292495456,6,40,23,362,9,25,23,0,1,0
bayesfl_observability_v1,,1,1,0,720,361.6773230955695,361.6773230955695,0.16298265984422844,356.88426697831545,58.68650632749766,5,synthetic,,,static,,,,1.5787690823076708,2,0.43,0.7422832097208938,0,29,344,10,0,137,11,33,79,157
bayesfl_observability_v1,,2,2,0,1620,274.78340440770967,274.78340440770967,0.5154967449813678,239.07473789649907,135.45917849157058,5,synthetic,,,static,,,,1.368826093628643,0,0.5497498610339078,0.938461625223841,989,159,2,10,203,29,328,1,56,22
bayesfl_observability_v1,,3,3,0,475,371.5596383619438,371.5596383619438,3.2459408847982902,-369.5385997359994,-38.70126825848625,5,synthetic,,,static,,,,0.8905883541586623,2,0.7666034155597723,1.4177784963404076,6,0,404,46,0,4,42,3,5,17
bayesfl_observability_v1,,4,4,0,330,287.73718396734813,287.73718396734813,2.1582891947425216,-159.48581495588473,239.49313531981835,5,synthetic,,,static,,,,0.898369570558716,6,0.7513661202185792,1.4095410508742412,0,3,2,34,0,0,275,24,2,26
bayesfl_observability_v1,,5,5,1,283,496.8207433324704,496.8207433324704,3.0785972719696755,-495.83527307714013,31.276716227031685,5,synthetic,,,static,,,,0.7744346831111485,5,0.7707006369426752,1.6054758525866832,0,0,0,0,7,242,3,20,0,42
bayesfl_observability_v1,,6,6,1,1803,382.07816949014125,382.07816949014125,1.4575165068128029,43.189238114422636,379.62931566467944,5,synthetic,,,static,,,,1.424271812485038,3,0.4218671992011982,0.8630577602332004,37,0,7,845,67,2,121,471,0,453
bayesfl_observability_v1,,7,7,1,1299,252.92910103355504,252.92910103355504,2.5535122755371904,-210.43882057588417,140.31618917385524,5,synthetic,,,static,,,,1.693126752013245,8,0.288981288981289,0.6237197578331287,3,17,2,264,39,293,65,326,417,17
bayesfl_observability_v1,,8,8,1,472,393.58563227532574,393.58563227532574,4.5190857950638375,-75.60842998453316,-386.2551167930878,5,synthetic,,,static,,,,1.6089164906125724,2,0.46564885496183206,0.6965551597414836,12,30,244,120,34,39,10,0,26,9
bayesfl_observability_v1,,9,9,1,897,128.22560033790126,128.22560033790126,6.03442502546451,124.2786096960932,-31.569475035567393,5,synthetic,,,static,,,,1.2457325330132258,0,0.5913654618473896,1.0824580049352448,589,29,84,0,3,214,0,38,12,27
bayesfl_observability_v1,,10,10,2,1971,398.6609854138698,398.6609854138698,2.6261177995751868,-346.85847546838255,196.51915755698514,5,synthetic,,,static,,,,1.4588769796232084,2,0.49566011877569666,0.8191013363434113,8,483,1085,131,194,0,10,198,7,73
bayesfl_observability_v1,,11,11,2,4,184.56611946256038,184.56611946256038,0.8994710010681625,114.80460394883278,144.51489669103236,5,synthetic,,,static,,,,1.3862943611198906,5,0.25,0.939276547692685,0,0,0,0,0,1,0,1,1,1
bayesfl_observability_v1,,12,12,2,11053,519.2429168057155,519.2429168057155,5.405584059923019,331.7952483569886,-399.40595866941123,5,synthetic,,,static,,,,1.5802405431352806,8,0.4270824851396466,0.7231638212146337,70,806,2823,36,0,155,588,1806,5245,752
bayesfl_observability_v1,,13,13,2,814,272.7225789381613,272.7225789381613,3.8452462972936035,-207.9464244224932,-176.4536472634724,5,synthetic,,,static,,,,1.080692950032881,9,0.629424778761062,1.224219920331141,22,0,76,190,0,0,45,2,0,569
bayesfl_observability_v1,,14,14,2,274,483.78573872989597,483.78573872989597,0.4777667413128442,429.6133383155966,222.44329735858508,5,synthetic,,,static,,,,0.9046127705927123,6,0.6644736842105263,1.4102412850023194,1,0,81,2,0,5,202,4,0,9
bayesfl_observability_v1,,15,15,3,342,519.4134380723592,519.4134380723592,5.784100292641981,456.055834564169,-248.60288697062197,5,synthetic,,,static,,,,1.2985927805091027,5,0.5236842105263158,1.0543347356550556,11,0,0,1,33,199,66,69,0,1
bayesfl_observability_v1,,16,16,3,2899,457.77769010845736,457.77769010845736,0.4702079771507635,408.0969446370842,207.40611692742198,5,synthetic,,,static,,,,1.393841414721813,1,0.3945979509469109,0.8699262401482634,152,1271,781,3,3,59,878,58,0,16
bayesfl_observability_v1,,17,17,3,947,371.9773416923275,371.9773416923275,3.3227777376170584,-365.88838391036273,-67.02860025357546,5,synthetic,,,static,,,,1.4785618880198559,7,0.42490494296577946,0.797476879196456,27,101,0,305,98,66,5,447,0,3
bayesfl_observability_v1,,18,18,3,2961,192.73869487670333,192.73869487670333,4.079410567499369,-114.01433996606042,-155.39927536793263,5,synthetic,,,static,,,,1.05476922767672,6,0.6613981762917933,1.252970045184386,2,0,0,291,0,46,2176,348,0,427
bayesfl_observability_v1,,19,19,3,3088,532.1810432573344,532.1810432573344,3.5395651471461984,-490.5903754948561,-206.2468091250891,5,synthetic,,,static,,,,1.2404985133344801,1,0.6181871174584669,0.9902360367174992,359,2121,0,51,30,63,27,328,0,452
bayesfl_observability_v1,,20,20,4,9,275.16926983776,275.16926983776,4.09262531384759,-159.83008850573623,-223.99212010982552,5,synthetic,,,static,,,,0.3250829733914482,1,0.9,1.8827126036721504,0,9,0,0,0,1,0,0,0,0
bayesfl_observability_v1,,21,21,4,1152,265.51506578129704,265.51506578129704,4.270296457531731,-113.59577383626913,-239.98802120811297,5,synthetic,,,static,,,,1.5249506784896467,4,0.2799061767005473,0.7610772411746858,339,340,0,1,358,102,1,135,0,3
bayesfl_observability_v1,,22,22,4,1863,207.4522898639769,207.4522898639769,3.1611263239482317,-207.41271293086288,-4.052046947773453,5,synthetic,,,static,,,,1.2522514030270893,1,0.4001933301111648,1.0373959216845188,26,828,0,0,79,797,3,318,0,18
bayesfl_observability_v1,,23,23,4,2308,329.5695305074107,329.5695305074107,2.470793842880754,-258.1601729750991,204.86434665002602,5,synthetic,,,static,,,,1.5567254543072586,6,0.3962558502340094,0.7334821600310028,124,318,0,7,59,24,1016,440,0,576
bayesfl_observability_v1,,24,24,4,270,413.5419178369083,413.5419178369083,3.5761099207991176,-375.11285908265756,-174.08980659149032,5,synthetic,,,static,,,,0.957950800540371,5,0.7433333333333333,1.4191188247520772,0,3,0,2,18,223,9,17,0,28
