2026-07-07 18:20:37,121 | INFO | Starting Bayesian FL source run
2026-07-07 18:20:37,121 | INFO | Flower version: 1.29.0
2026-07-07 18:20:37,122 | INFO | Method=ola dataset=mnist model=mlp
2026-07-07 18:20:37,122 | INFO | Physical devices=300 Flower virtual clients=24 client_fraction=0.0500
2026-07-07 18:20:37,122 | INFO | Output directory: /home/micl/DungNDH/micl/bayesfl_base_source/outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b32_e2_lam0p001_pinit0p001_fclip10p0
2026-07-07 18:20:38,330 | INFO | Loaded dataset with input_shape=(1, 28, 28) num_classes=10
2026-07-07 18:20:38,331 | INFO | Saved device/data summary to outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b32_e2_lam0p001_pinit0p001_fclip10p0/device_summary.csv
2026-07-07 18:20:38,332 | INFO | Initial payload arrays: [(101770,), (101770,)]
2026-07-07 18:20:38,341 | INFO | Flower client_resources={'num_cpus': 1.0, 'num_gpus': 0.25}
2026-07-07 18:20:38,464 | WARNING | DEPRECATED FEATURE: flwr.simulation.start_simulation() is deprecated.
	Instead, use the `flwr run` CLI command to start a local simulation in your Flower app, as shown for example below:

		$ flwr new  # Create a new Flower app from a template

		$ flwr run  # Run the Flower app in Simulation Mode

	Using `start_simulation()` is deprecated.

            This is a deprecated feature. It will be removed
            entirely in future versions of Flower.
        
2026-07-07 18:20:38,465 | INFO | Starting Flower simulation, config: num_rounds=60, no round_timeout
2026-07-07 18:20:40,776 | INFO | Flower VCE: Ray initialized with resources: {'CPU': 48.0, 'node:203.249.64.186': 1.0, 'GPU': 1.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'object_store_memory': 68409083904.0, 'memory': 159621195776.0}
2026-07-07 18:20:40,776 | INFO | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
2026-07-07 18:20:40,776 | INFO | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1.0, 'num_gpus': 0.25}
2026-07-07 18:20:40,839 | INFO | Flower VCE: Creating VirtualClientEngineActorPool with 4 actors
2026-07-07 18:20:40,839 | INFO | [INIT]
2026-07-07 18:20:40,839 | INFO | Using initial global parameters provided by strategy
2026-07-07 18:20:40,839 | INFO | Starting evaluation of initial global parameters
2026-07-07 18:20:48,192 | INFO | initial parameters (loss, other metrics): 2.2839737342834474, {'accuracy': 0.1078, 'global_ece': 0.03257808776050807, 'selected_count': 0, 'active_physical_devices': 0}
2026-07-07 18:20:48,192 | INFO | 
2026-07-07 18:20:48,192 | INFO | [ROUND 1]
2026-07-07 18:20:48,194 | INFO | configure_fit: strategy sampled 24 clients (out of 24)
2026-07-07 18:20:53,002 | INFO | aggregate_fit: received 24 results and 0 failures
2026-07-07 18:20:59,524 | INFO | fit progress: (1, 2.3307272216796875, {'accuracy': 0.1796, 'global_ece': 0.16856245951354504, 'selected_count': 15, 'active_physical_devices': 15}, 11.331489369273186)
2026-07-07 18:20:59,524 | INFO | configure_evaluate: no clients selected, skipping evaluation
2026-07-07 18:20:59,524 | INFO | 
2026-07-07 18:20:59,524 | INFO | [ROUND 2]
2026-07-07 18:20:59,525 | INFO | configure_fit: strategy sampled 24 clients (out of 24)
2026-07-07 18:21:01,537 | INFO | aggregate_fit: received 24 results and 0 failures
2026-07-07 18:21:08,335 | INFO | fit progress: (2, 2.2859997455596925, {'accuracy': 0.244, 'global_ece': 0.1516448314294219, 'selected_count': 15, 'active_physical_devices': 15}, 20.14301060512662)
