scenario,condition_name,realization,physical_client_id,num_examples,local_classes,assigned_labels,label_entropy,label_0_count,label_1_count,label_2_count,label_3_count,label_4_count,label_5_count,label_6_count,label_7_count,label_8_count,label_9_count
default,default,0,0,9,1,2,-0.0,0,0,9,0,0,0,0,0,0,0
default,default,0,1,15,1,6,-0.0,0,0,0,0,0,0,15,0,0,0
default,default,0,2,10,1,4,-0.0,0,0,0,0,10,0,0,0,0,0
default,default,0,3,16,1,8,-0.0,0,0,0,0,0,0,0,0,16,0
default,default,0,4,7,1,5,-0.0,0,0,0,0,0,7,0,0,0,0
default,default,0,5,12,1,7,-0.0,0,0,0,0,0,0,0,12,0,0
default,default,0,6,13,1,6,-0.0,0,0,0,0,0,0,13,0,0,0
default,default,0,7,7,1,1,-0.0,0,7,0,0,0,0,0,0,0,0
default,default,0,8,10,1,1,-0.0,0,10,0,0,0,0,0,0,0,0
default,default,0,9,11,1,2,-0.0,0,0,11,0,0,0,0,0,0,0
default,default,0,10,10,1,6,-0.0,0,0,0,0,0,0,10,0,0,0
default,default,0,11,17,1,2,-0.0,0,0,17,0,0,0,0,0,0,0
default,default,0,12,11,1,9,-0.0,0,0,0,0,0,0,0,0,0,11
default,default,0,13,6,1,3,-0.0,0,0,0,6,0,0,0,0,0,0
default,default,0,14,14,1,8,-0.0,0,0,0,0,0,0,0,0,14,0
default,default,0,15,4,1,6,-0.0,0,0,0,0,0,0,4,0,0,0
default,default,0,16,17,1,0,-0.0,17,0,0,0,0,0,0,0,0,0
default,default,0,17,11,1,7,-0.0,0,0,0,0,0,0,0,11,0,0
default,default,0,18,6,1,7,-0.0,0,0,0,0,0,0,0,6,0,0
default,default,0,19,12,1,6,-0.0,0,0,0,0,0,0,12,0,0,0
default,default,0,20,13,1,9,-0.0,0,0,0,0,0,0,0,0,0,13
default,default,0,21,15,1,0,-0.0,15,0,0,0,0,0,0,0,0,0
default,default,0,22,13,1,3,-0.0,0,0,0,13,0,0,0,0,0,0
default,default,0,23,8,1,9,-0.0,0,0,0,0,0,0,0,0,0,8
default,default,0,24,8,1,3,-0.0,0,0,0,8,0,0,0,0,0,0
default,default,0,25,14,1,9,-0.0,0,0,0,0,0,0,0,0,0,14
default,default,0,26,13,1,3,-0.0,0,0,0,13,0,0,0,0,0,0
default,default,0,27,5,1,7,-0.0,0,0,0,0,0,0,0,5,0,0
default,default,0,28,7,1,1,-0.0,0,7,0,0,0,0,0,0,0,0
default,default,0,29,7,1,9,-0.0,0,0,0,0,0,0,0,0,0,7
default,default,0,30,7,1,2,-0.0,0,0,7,0,0,0,0,0,0,0
default,default,0,31,7,1,5,-0.0,0,0,0,0,0,7,0,0,0,0
default,default,0,32,16,1,3,-0.0,0,0,0,16,0,0,0,0,0,0
default,default,0,33,7,1,1,-0.0,0,7,0,0,0,0,0,0,0,0
default,default,0,34,11,1,9,-0.0,0,0,0,0,0,0,0,0,0,11
default,default,0,35,7,1,6,-0.0,0,0,0,0,0,0,7,0,0,0
default,default,0,36,10,1,9,-0.0,0,0,0,0,0,0,0,0,0,10
default,default,0,37,9,1,8,-0.0,0,0,0,0,0,0,0,0,9,0
default,default,0,38,10,1,0,-0.0,10,0,0,0,0,0,0,0,0,0
default,default,0,39,8,1,2,-0.0,0,0,8,0,0,0,0,0,0,0
default,default,1,0,10,1,2,-0.0,0,0,10,0,0,0,0,0,0,0
default,default,1,1,8,1,7,-0.0,0,0,0,0,0,0,0,8,0,0
default,default,1,2,11,1,1,-0.0,0,11,0,0,0,0,0,0,0,0
default,default,1,3,10,1,9,-0.0,0,0,0,0,0,0,0,0,0,10
default,default,1,4,12,1,1,-0.0,0,12,0,0,0,0,0,0,0,0
default,default,1,5,13,1,4,-0.0,0,0,0,0,13,0,0,0,0,0
default,default,1,6,8,1,8,-0.0,0,0,0,0,0,0,0,0,8,0
default,default,1,7,3,1,8,-0.0,0,0,0,0,0,0,0,0,3,0
default,default,1,8,9,1,8,-0.0,0,0,0,0,0,0,0,0,9,0
default,default,1,9,10,1,9,-0.0,0,0,0,0,0,0,0,0,0,10
default,default,1,10,7,1,8,-0.0,0,0,0,0,0,0,0,0,7,0
default,default,1,11,7,1,2,-0.0,0,0,7,0,0,0,0,0,0,0
default,default,1,12,8,1,4,-0.0,0,0,0,0,8,0,0,0,0,0
default,default,1,13,14,1,7,-0.0,0,0,0,0,0,0,0,14,0,0
default,default,1,14,16,1,2,-0.0,0,0,16,0,0,0,0,0,0,0
default,default,1,15,4,1,0,-0.0,4,0,0,0,0,0,0,0,0,0
default,default,1,16,7,1,6,-0.0,0,0,0,0,0,0,7,0,0,0
default,default,1,17,7,1,8,-0.0,0,0,0,0,0,0,0,0,7,0
default,default,1,18,11,1,2,-0.0,0,0,11,0,0,0,0,0,0,0
