device_id,distance_m,distance_km,theta_rad,x_km,y_km,active_le_550m,active_le_300m,active_le_50m
0,328.81007550287524,0.3288100755028752,1.9658514239610074,-0.12654553089445295,0.30348359817764053,1,0,0
1,335.5489819671371,0.33554898196713706,5.1330392547006465,0.13702281095659405,-0.3062970267187319,1,0,0
2,417.42197816890393,0.4174219781689039,3.1232625585687903,-0.4173518548296652,0.007650956063068551,1,0,0
3,475.38962695446014,0.47538962695446013,2.1341224453379324,-0.25385869087002283,0.4019341519274755,1,0,0
4,236.31276684414124,0.23631276684414124,5.204705611263173,0.11169763955789884,-0.20824831593731358,1,1,0
5,420.5272975357466,0.4205272975357466,3.5822373581384666,-0.3803572138672168,-0.17936442744280873,1,0,0
6,402.2047168609936,0.40220471686099357,3.3243960976438123,-0.3955031528674061,-0.07311559571783025,1,0,0
7,426.91202956979777,0.4269120295697978,5.670749512238026,0.34932085359472,-0.24541561122972624,1,0,0
8,282.68269672344957,0.2826826967234496,5.261133171201045,0.14745187659621894,-0.24117929246744046,1,1,0
9,66.60402414659696,0.06660402414659695,4.796679613414824,0.005607449777784262,-0.06636755637742056,1,1,0
10,264.7203027039831,0.2647203027039831,5.513610737767363,0.19012391140309734,-0.18420026323671648,1,1,0
11,518.6867078023088,0.5186867078023087,1.775610292421595,-0.10549310508454139,0.5078455529296476,1,0,0
12,520.5107256049556,0.5205107256049556,0.15770131516913313,0.5140516544859305,0.0817454095963494,1,0,0
13,143.99715675140186,0.14399715675140187,4.324935695889195,-0.05440669118165046,-0.13332326543837844,1,1,0
14,349.60559145548626,0.34960559145548625,5.3122170534170925,0.19735255481314473,-0.2885758802908952,1,0,0
15,506.88619888576625,0.5068861988857662,3.5007514810477116,-0.47454321790028814,-0.1781638374241536,1,0,0
16,544.2686799723765,0.5442686799723765,2.5481549887278994,-0.45121135744876845,0.30436278831045177,1,0,0
17,410.5615639796372,0.41056156397963717,1.8367574897383179,-0.10791067050773058,0.39612634980265793,1,0,0
18,309.7228381131194,0.3097228381131194,2.2701309004697734,-0.1993712540520494,0.2370218123012284,1,0,0
19,426.0279797919518,0.4260279797919518,0.55300819501671,0.3625277945154349,0.22377094934192485,1,0,0
20,511.0756299670603,0.5110756299670604,5.296225480259335,0.2817197005950725,-0.42641799896680055,1,0,0
21,225.3583106730213,0.22535831067302128,1.7642443474289715,-0.04332372368984707,0.221154749338656,1,1,0
22,242.23704306408732,0.2422370430640873,4.651644154028052,-0.014705599441558592,-0.2417902611303791,1,1,0
23,394.44756032857464,0.39444756032857464,3.880403979450618,-0.29160306862230123,-0.2656247884125689,1,0,0
24,174.48541337034982,0.1744854133703498,5.363706543315043,0.10577912455489873,-0.13876576050100065,1,1,0
25,487.0805647816051,0.4870805647816051,3.4473292232066903,-0.4644924505451283,-0.1466091401466804,1,0,0
26,366.50923981505264,0.3665092398150526,2.368152143415424,-0.2622415264560618,0.2560437553852903,1,0,0
27,495.6478598504539,0.49564785985045395,3.3878462490201064,-0.48069540069196637,-0.12082521561298842,1,0,0
28,523.8366449687641,0.523836644968764,0.006486251299573704,0.5238256257222377,0.0033977122946255295,1,0,0
29,453.3228396479906,0.4533228396479906,2.3217155824236695,-0.30930719677895435,0.3314070834596976,1,0,0
30,283.9207159558485,0.2839207159558485,0.6656514523648894,0.2233077978660458,0.17534138234056112,1,1,0
31,391.1498983565582,0.3911498983565582,4.451961759919916,-0.10071851332378745,-0.37796034720350213,1,0,0
32,315.0873660098141,0.31508736600981413,1.1690407472756343,0.12321010535954142,0.2899988244050194,1,0,0
33,455.5344886623253,0.4555344886623253,1.1203794379098821,0.1983127863905239,0.410102071580811,1,0,0
34,467.193547362403,0.46719354736240304,5.422615763016696,0.3046128734314314,-0.35423270322898287,1,0,0
35,507.6903264653897,0.5076903264653897,5.099354326983449,0.19159211976248358,-0.47015096217220714,1,0,0
36,348.57562961844104,0.348575629618441,1.4343999186625178,0.04739718153413084,0.34533820632318285,1,0,0
37,484.21437238636094,0.48421437238636095,5.359187880313724,0.2918045115984635,-0.38641129051348855,1,0,0
38,252.82783547864716,0.2528278354786472,1.8122022543488827,-0.060443050502822206,0.24549654180605307,1,1,0
39,364.0944888249371,0.3640944888249371,0.9807548080253722,0.2025805431917553,0.30253251116669366,1,0,0
40,252.60331218058494,0.25260331218058496,2.0551403251542966,-0.11761915255188544,0.22354902880034697,1,1,0
41,496.472680272741,0.496472680272741,6.1569743602288804,0.49252371934747863,-0.06249406481679219,1,0,0
42,492.78680883969264,0.4927868088396926,0.6027752786784478,0.4059407218448661,0.2793760356839448,1,0,0
43,466.12169522336086,0.46612169522336083,6.22533871845821,0.46534203797537976,-0.02694851481658924,1,0,0
44,313.30132550803086,0.31330132550803086,3.0942968700779203,-0.31295098034305874,0.01481230797031934,1,0,0
45,475.5409640732226,0.4755409640732226,2.688511304729939,-0.4275600930386842,0.20816237737026763,1,0,0
46,473.2782558005886,0.47327825580058863,6.016950776054912,0.4566039199851823,-0.12451974810371502,1,0,0
47,495.2218523809886,0.4952218523809886,4.735229579061567,0.011310180119528331,-0.49509268112275856,1,0,0
