schema_version,run_id,physical_client_id,virtual_client_id,num_examples,train_examples,val_examples,label_0_count,label_1_count,label_2_count,label_3_count,label_4_count,label_5_count,label_6_count,label_7_count,label_8_count,label_9_count,label_entropy,dominant_label,dominant_label_fraction,kl_to_global_label_distribution,is_iid,is_balanced,noniid_alpha,unbalanced_alpha
bayesfl_observability_v1,,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,1,0,7,7,0,0,0,0,0,0,0,7,0,0,0,-0.0,6,1.0,2.3163460082440825,False,False,0.01,0.1
bayesfl_observability_v1,,2,0,51,51,5,0,0,0,0,0,0,56,0,0,0,-0.0,6,1.0,2.3163460082440825,False,False,0.01,0.1
bayesfl_observability_v1,,3,0,5,5,0,0,0,0,0,0,0,0,5,0,0,-0.0,7,1.0,2.259365973874069,False,False,0.01,0.1
bayesfl_observability_v1,,4,0,7,7,0,0,0,0,0,0,0,0,0,7,0,-0.0,8,1.0,2.3277319754160017,False,False,0.01,0.1
bayesfl_observability_v1,,5,0,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,6,0,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,7,0,82,82,9,0,0,0,0,0,0,0,91,0,0,-0.0,7,1.0,2.259365973874069,False,False,0.01,0.1
bayesfl_observability_v1,,8,0,28,28,3,0,0,0,0,0,0,0,0,31,0,-0.0,8,1.0,2.3277319754160017,False,False,0.01,0.1
bayesfl_observability_v1,,9,0,5,5,0,0,3,0,0,0,0,2,0,0,0,0.6730116670092565,1,0.6,1.5651195035345156,False,False,0.01,0.1
bayesfl_observability_v1,,10,0,15,15,1,0,0,0,0,16,0,0,0,0,0,-0.0,4,1.0,2.3292713582565514,False,False,0.01,0.1
bayesfl_observability_v1,,11,0,100,100,11,0,0,0,0,0,111,0,0,0,0,-0.0,5,1.0,2.4040642619438994,False,False,0.01,0.1
bayesfl_observability_v1,,12,1,5,5,0,0,5,0,0,0,0,0,0,0,0,-0.0,1,1.0,2.185987945410232,False,False,0.01,0.1
bayesfl_observability_v1,,13,1,2323,2323,258,0,204,0,0,0,1,0,0,2376,0,0.279815522628058,8,0.9205734211545913,2.0367427023677,False,False,0.01,0.1
bayesfl_observability_v1,,14,1,10,10,1,0,0,0,0,1,0,0,0,10,0,0.30463609734923813,8,0.9090909090909091,2.023235821961359,False,False,0.01,0.1
bayesfl_observability_v1,,15,1,5,5,0,0,0,0,0,0,0,0,0,5,0,-0.0,8,1.0,2.3277319754160017,False,False,0.01,0.1
bayesfl_observability_v1,,16,1,5,5,0,0,0,0,0,0,5,0,0,0,0,-0.0,5,1.0,2.4040642619438994,False,False,0.01,0.1
bayesfl_observability_v1,,17,1,202,202,22,0,0,0,0,0,0,224,0,0,0,-0.0,6,1.0,2.3163460082440825,False,False,0.01,0.1
bayesfl_observability_v1,,18,1,12,12,1,0,0,0,0,0,13,0,0,0,0,-0.0,5,1.0,2.4040642619438994,False,False,0.01,0.1
bayesfl_observability_v1,,19,1,278,278,30,0,0,239,0,0,69,0,0,0,0,0.5319564786591525,2,0.775974025974026,1.798813502735784,False,False,0.01,0.1
bayesfl_observability_v1,,20,1,270,270,29,0,0,299,0,0,0,0,0,0,0,-0.0,2,1.0,2.3096097079310103,False,False,0.01,0.1
bayesfl_observability_v1,,21,1,5,5,0,0,0,2,3,0,0,0,0,0,0,0.6730116670092565,3,0.6,1.6194242322280776,False,False,0.01,0.1
bayesfl_observability_v1,,22,1,20,20,2,21,0,0,0,0,0,0,1,0,0,0.18490739916777568,0,0.9545454545454546,2.128042471620715,False,False,0.01,0.1
bayesfl_observability_v1,,23,1,75,75,8,0,0,0,0,0,0,0,0,83,0,-0.0,8,1.0,2.3277319754160017,False,False,0.01,0.1
bayesfl_observability_v1,,24,1,143,143,15,0,0,0,0,0,0,157,0,1,0,0.03835078340871136,6,0.9936708860759493,2.278067287918738,False,False,0.01,0.1
bayesfl_observability_v1,,25,2,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,26,2,5,5,0,0,0,0,0,0,0,0,0,0,5,-0.0,9,1.0,2.311121424016332,False,False,0.01,0.1
bayesfl_observability_v1,,27,2,5,5,0,0,0,0,0,0,0,0,0,0,5,-0.0,9,1.0,2.311121424016332,False,False,0.01,0.1
bayesfl_observability_v1,,28,2,561,561,62,0,34,589,0,0,0,0,0,0,0,0.2117707884379603,2,0.9454253611556982,2.0910923064501823,False,False,0.01,0.1
bayesfl_observability_v1,,29,2,1150,1150,127,0,0,0,0,1277,0,0,0,0,0,-0.0,4,1.0,2.3292713582565514,False,False,0.01,0.1
bayesfl_observability_v1,,30,2,189,189,21,0,0,0,205,0,0,0,0,0,5,0.11251593411963928,3,0.9761904761904762,2.1691882529070243,False,False,0.01,0.1
bayesfl_observability_v1,,31,2,5,5,0,0,0,0,0,5,0,0,0,0,0,-0.0,4,1.0,2.3292713582565514,False,False,0.01,0.1
bayesfl_observability_v1,,32,2,6,6,0,2,0,0,4,0,0,0,0,0,0,0.6365141682948128,3,0.6666666666666666,1.6559774556419777,False,False,0.01,0.1
bayesfl_observability_v1,,33,2,5,5,0,0,0,0,0,0,0,5,0,0,0,-0.0,6,1.0,2.3163460082440825,False,False,0.01,0.1
bayesfl_observability_v1,,34,2,1791,1791,198,0,0,0,0,0,0,0,0,1989,0,-0.0,8,1.0,2.3277319754160017,False,False,0.01,0.1
bayesfl_observability_v1,,35,2,5,5,0,0,5,0,0,0,0,0,0,0,0,-0.0,1,1.0,2.185987945410232,False,False,0.01,0.1
bayesfl_observability_v1,,36,2,5,5,0,0,0,0,0,0,5,0,0,0,0,-0.0,5,1.0,2.4040642619438994,False,False,0.01,0.1
bayesfl_observability_v1,,37,3,5,5,0,0,0,0,0,0,0,0,5,0,0,-0.0,7,1.0,2.259365973874069,False,False,0.01,0.1
bayesfl_observability_v1,,38,3,6,6,0,6,0,0,0,0,0,0,0,0,0,-0.0,0,1.0,2.3155014849272724,False,False,0.01,0.1
bayesfl_observability_v1,,39,3,9,9,0,0,2,0,0,0,7,0,0,0,0,0.5297061990576545,5,0.7777777777777778,1.8258966592120964,False,False,0.01,0.1
bayesfl_observability_v1,,40,3,111,111,12,0,2,0,0,0,0,0,0,0,121,0.08310345798765681,9,0.983739837398374,2.225983275319633,False,False,0.01,0.1
bayesfl_observability_v1,,41,3,9,9,1,0,0,0,0,0,10,0,0,0,0,-0.0,5,1.0,2.4040642619438994,False,False,0.01,0.1
bayesfl_observability_v1,,42,3,5,5,0,0,0,0,0,5,0,0,0,0,0,-0.0,4,1.0,2.3292713582565514,False,False,0.01,0.1
bayesfl_observability_v1,,43,3,5,5,0,0,0,0,0,0,0,0,5,0,0,-0.0,7,1.0,2.259365973874069,False,False,0.01,0.1
bayesfl_observability_v1,,44,3,6,6,0,0,0,0,6,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,45,3,5,5,0,0,0,0,0,0,0,0,0,5,0,-0.0,8,1.0,2.3277319754160017,False,False,0.01,0.1
bayesfl_observability_v1,,46,3,6,6,0,0,0,0,0,1,0,5,0,0,0,0.45056120886630463,6,0.8333333333333334,1.8679390243798561,False,False,0.01,0.1
bayesfl_observability_v1,,47,3,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,48,3,5,5,0,5,0,0,0,0,0,0,0,0,0,-0.0,0,1.0,2.3155014849272724,False,False,0.01,0.1
bayesfl_observability_v1,,49,3,7,7,0,0,0,7,0,0,0,0,0,0,0,-0.0,2,1.0,2.3096097079310103,False,False,0.01,0.1
bayesfl_observability_v1,,50,4,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,51,4,126,126,14,0,0,139,0,0,0,0,0,1,0,0.042414731858117456,2,0.9928571428571429,2.267324420840643,False,False,0.01,0.1
bayesfl_observability_v1,,52,4,17,17,1,0,0,0,10,0,1,0,0,7,0,0.854414981600184,3,0.5555555555555556,1.4515880753037833,False,False,0.01,0.1
bayesfl_observability_v1,,53,4,5,5,0,0,5,0,0,0,0,0,0,0,0,-0.0,1,1.0,2.185987945410232,False,False,0.01,0.1
bayesfl_observability_v1,,54,4,5,5,0,0,0,0,0,0,5,0,0,0,0,-0.0,5,1.0,2.4040642619438994,False,False,0.01,0.1
bayesfl_observability_v1,,55,4,5,5,0,0,0,0,0,0,0,5,0,0,0,-0.0,6,1.0,2.3163460082440825,False,False,0.01,0.1
bayesfl_observability_v1,,56,4,306,306,34,0,0,0,0,0,0,0,340,0,0,-0.0,7,1.0,2.259365973874069,False,False,0.01,0.1
bayesfl_observability_v1,,57,4,5,5,0,0,0,0,5,0,0,0,0,0,0,-0.0,3,1.0,2.28098669344155,False,False,0.01,0.1
bayesfl_observability_v1,,58,4,5,5,0,0,2,3,0,0,0,0,0,0,0,0.6730116670092565,2,0.6,1.5871493359134423,False,False,0.01,0.1
bayesfl_observability_v1,,59,4,5,5,0,0,5,0,0,0,0,0,0,0,0,-0.0,1,1.0,2.185987945410232,False,False,0.01,0.1
bayesfl_observability_v1,,60,4,53,53,5,0,0,0,0,0,0,6,0,52,0,0.3325942143118925,8,0.896551724137931,1.9939599024311518,False,False,0.01,0.1
bayesfl_observability_v1,,61,4,22,22,2,0,0,5,0,18,0,0,0,0,1,0.6749754468353846,4,0.75,1.6494434870100037,False,False,0.01,0.1
bayesfl_observability_v1,,62,5,330,330,36,0,0,0,2,0,0,0,0,364,0,0.0339166607759742,8,0.994535519125683,2.2935598759407134,False,False,0.01,0.1
bayesfl_observability_v1,,63,5,8,8,0,0,0,8,0,0,0,0,0,0,0,-0.0,2,1.0,2.3096097079310103,False,False,0.01,0.1
bayesfl_observability_v1,,64,5,5,5,0,0,0,5,0,0,0,0,0,0,0,-0.0,2,1.0,2.3096097079310103,False,False,0.01,0.1
bayesfl_observability_v1,,65,5,52,52,5,1,0,0,46,0,0,0,10,0,0,0.5493081947040445,3,0.8070175438596491,1.7284909126991004,False,False,0.01,0.1
bayesfl_observability_v1,,66,5,63,63,7,0,0,0,0,0,61,9,0,0,0,0.38366200046938814,5,0.8714285714285714,2.009124200284535,False,False,0.01,0.1
