schema_version,run_id,physical_client_id,device_id,virtual_client_id,num_examples,radius_m,distance_m,angle_rad,x_m,y_m,device_group_size,hardware_class,max_compute_flops,battery_level_init,mobility_class,default_channel_gain,default_pathloss_db,default_noise_power,label_entropy,dominant_label,dominant_label_fraction,kl_to_global_label_distribution,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
bayesfl_observability_v1,,0,0,0,68,490.4674285348789,490.4674285348789,3.1738995362067826,-490.2114918684042,-15.842717373291887,12,synthetic,,,static,,,,0.07081055490819625,3,0.9866666666666667,2.2089094885596023,0,1,0,74,0,0,0,0,0,0
bayesfl_observability_v1,,1,1,0,101,361.6773230955695,361.6773230955695,0.16298265984422844,356.88426697831545,58.68650632749766,12,synthetic,,,static,,,,0.627941588739906,5,0.6785714285714286,1.7479275202290525,0,0,0,0,0,76,36,0,0,0
bayesfl_observability_v1,,2,2,0,202,274.78340440770967,274.78340440770967,0.5154967449813678,239.07473789649907,135.45917849157058,12,synthetic,,,static,,,,0.49712268887525346,3,0.8616071428571429,1.7870656882385882,0,2,25,193,3,0,0,0,1,0
bayesfl_observability_v1,,3,3,0,54,371.5596383619438,371.5596383619438,3.2459408847982902,-369.5385997359994,-38.70126825848625,12,synthetic,,,static,,,,0.7281071546314151,3,0.7166666666666667,1.532144314993967,0,14,3,43,0,0,0,0,0,0
bayesfl_observability_v1,,4,4,0,47,287.73718396734813,287.73718396734813,2.1582891947425216,-159.48581495588473,239.49313531981835,12,synthetic,,,static,,,,0.5424956280473539,2,0.8461538461538461,1.7617239060772953,0,0,44,0,1,0,0,6,0,1
bayesfl_observability_v1,,5,5,0,35,496.8207433324704,496.8207433324704,3.0785972719696755,-495.83527307714013,31.276716227031685,12,synthetic,,,static,,,,1.5903475561802325,8,0.2894736842105263,0.7061063978321973,0,2,1,9,8,0,0,7,11,0
bayesfl_observability_v1,,6,6,0,230,382.07816949014125,382.07816949014125,1.4575165068128029,43.189238114422636,379.62931566467944,12,synthetic,,,static,,,,1.0431642721063052,3,0.5450980392156862,1.257328427832494,1,0,0,139,12,3,0,10,90,0
bayesfl_observability_v1,,7,7,0,152,252.92910103355504,252.92910103355504,2.5535122755371904,-210.43882057588417,140.31618917385524,12,synthetic,,,static,,,,1.264349492321815,3,0.5,1.032554209297049,27,0,8,84,0,0,7,0,0,42
bayesfl_observability_v1,,8,8,0,56,393.58563227532574,393.58563227532574,4.5190857950638375,-75.60842998453316,-386.2551167930878,12,synthetic,,,static,,,,0.36153947789446483,1,0.9032258064516129,1.8365068925499755,1,56,5,0,0,0,0,0,0,0
bayesfl_observability_v1,,9,9,0,107,128.22560033790126,128.22560033790126,6.03442502546451,124.2786096960932,-31.569475035567393,12,synthetic,,,static,,,,0.20393077072313337,3,0.9576271186440678,2.077417173602598,0,0,3,113,0,0,0,2,0,0
