schema_version,run_id,physical_client_id,device_id,virtual_client_id,num_examples,radius_m,distance_m,angle_rad,x_m,y_m,device_group_size,hardware_class,max_compute_flops,battery_level_init,mobility_class,default_channel_gain,default_pathloss_db,default_noise_power,label_entropy,dominant_label,dominant_label_fraction,kl_to_global_label_distribution,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
bayesfl_observability_v1,,0,0,0,5,490.4674285348789,490.4674285348789,3.1738995362067826,-490.2114918684042,-15.842717373291887,12,synthetic,,,static,,,,-0.0,3,1.0,2.28098669344155,0,0,0,5,0,0,0,0,0,0
bayesfl_observability_v1,,1,1,0,7,361.6773230955695,361.6773230955695,0.16298265984422844,356.88426697831545,58.68650632749766,12,synthetic,,,static,,,,-0.0,6,1.0,2.3163460082440825,0,0,0,0,0,0,7,0,0,0
bayesfl_observability_v1,,2,2,0,51,274.78340440770967,274.78340440770967,0.5154967449813678,239.07473789649907,135.45917849157058,12,synthetic,,,static,,,,-0.0,6,1.0,2.3163460082440825,0,0,0,0,0,0,56,0,0,0
bayesfl_observability_v1,,3,3,0,5,371.5596383619438,371.5596383619438,3.2459408847982902,-369.5385997359994,-38.70126825848625,12,synthetic,,,static,,,,-0.0,7,1.0,2.259365973874069,0,0,0,0,0,0,0,5,0,0
bayesfl_observability_v1,,4,4,0,7,287.73718396734813,287.73718396734813,2.1582891947425216,-159.48581495588473,239.49313531981835,12,synthetic,,,static,,,,-0.0,8,1.0,2.3277319754160017,0,0,0,0,0,0,0,0,7,0
bayesfl_observability_v1,,5,5,0,5,496.8207433324704,496.8207433324704,3.0785972719696755,-495.83527307714013,31.276716227031685,12,synthetic,,,static,,,,-0.0,3,1.0,2.28098669344155,0,0,0,5,0,0,0,0,0,0
bayesfl_observability_v1,,6,6,0,5,382.07816949014125,382.07816949014125,1.4575165068128029,43.189238114422636,379.62931566467944,12,synthetic,,,static,,,,-0.0,3,1.0,2.28098669344155,0,0,0,5,0,0,0,0,0,0
bayesfl_observability_v1,,7,7,0,82,252.92910103355504,252.92910103355504,2.5535122755371904,-210.43882057588417,140.31618917385524,12,synthetic,,,static,,,,-0.0,7,1.0,2.259365973874069,0,0,0,0,0,0,0,91,0,0
bayesfl_observability_v1,,8,8,0,28,393.58563227532574,393.58563227532574,4.5190857950638375,-75.60842998453316,-386.2551167930878,12,synthetic,,,static,,,,-0.0,8,1.0,2.3277319754160017,0,0,0,0,0,0,0,0,31,0
bayesfl_observability_v1,,9,9,0,5,128.22560033790126,128.22560033790126,6.03442502546451,124.2786096960932,-31.569475035567393,12,synthetic,,,static,,,,0.6730116670092565,1,0.6,1.5651195035345156,0,3,0,0,0,0,2,0,0,0
bayesfl_observability_v1,,10,10,0,15,398.6609854138698,398.6609854138698,2.6261177995751868,-346.85847546838255,196.51915755698514,12,synthetic,,,static,,,,-0.0,4,1.0,2.3292713582565514,0,0,0,0,16,0,0,0,0,0
bayesfl_observability_v1,,11,11,0,100,184.56611946256038,184.56611946256038,0.8994710010681625,114.80460394883278,144.51489669103236,12,synthetic,,,static,,,,-0.0,5,1.0,2.4040642619438994,0,0,0,0,0,111,0,0,0,0
bayesfl_observability_v1,,12,12,1,5,519.2429168057155,519.2429168057155,5.405584059923019,331.7952483569886,-399.40595866941123,13,synthetic,,,static,,,,-0.0,1,1.0,2.185987945410232,0,5,0,0,0,0,0,0,0,0
bayesfl_observability_v1,,13,13,1,2323,272.7225789381613,272.7225789381613,3.8452462972936035,-207.9464244224932,-176.4536472634724,13,synthetic,,,static,,,,0.279815522628058,8,0.9205734211545913,2.0367427023677,0,204,0,0,0,1,0,0,2376,0
bayesfl_observability_v1,,14,14,1,10,483.78573872989597,483.78573872989597,0.4777667413128442,429.6133383155966,222.44329735858508,13,synthetic,,,static,,,,0.30463609734923813,8,0.9090909090909091,2.023235821961359,0,0,0,0,1,0,0,0,10,0
bayesfl_observability_v1,,15,15,1,5,519.4134380723592,519.4134380723592,5.784100292641981,456.055834564169,-248.60288697062197,13,synthetic,,,static,,,,-0.0,8,1.0,2.3277319754160017,0,0,0,0,0,0,0,0,5,0
bayesfl_observability_v1,,16,16,1,5,457.77769010845736,457.77769010845736,0.4702079771507635,408.0969446370842,207.40611692742198,13,synthetic,,,static,,,,-0.0,5,1.0,2.4040642619438994,0,0,0,0,0,5,0,0,0,0
bayesfl_observability_v1,,17,17,1,202,371.9773416923275,371.9773416923275,3.3227777376170584,-365.88838391036273,-67.02860025357546,13,synthetic,,,static,,,,-0.0,6,1.0,2.3163460082440825,0,0,0,0,0,0,224,0,0,0
bayesfl_observability_v1,,18,18,1,12,192.73869487670333,192.73869487670333,4.079410567499369,-114.01433996606042,-155.39927536793263,13,synthetic,,,static,,,,-0.0,5,1.0,2.4040642619438994,0,0,0,0,0,13,0,0,0,0
bayesfl_observability_v1,,19,19,1,278,532.1810432573344,532.1810432573344,3.5395651471461984,-490.5903754948561,-206.2468091250891,13,synthetic,,,static,,,,0.5319564786591525,2,0.775974025974026,1.798813502735784,0,0,239,0,0,69,0,0,0,0
bayesfl_observability_v1,,20,20,1,270,275.16926983776,275.16926983776,4.09262531384759,-159.83008850573623,-223.99212010982552,13,synthetic,,,static,,,,-0.0,2,1.0,2.3096097079310103,0,0,299,0,0,0,0,0,0,0
bayesfl_observability_v1,,21,21,1,5,265.51506578129704,265.51506578129704,4.270296457531731,-113.59577383626913,-239.98802120811297,13,synthetic,,,static,,,,0.6730116670092565,3,0.6,1.6194242322280776,0,0,2,3,0,0,0,0,0,0
bayesfl_observability_v1,,22,22,1,20,207.4522898639769,207.4522898639769,3.1611263239482317,-207.41271293086288,-4.052046947773453,13,synthetic,,,static,,,,0.18490739916777568,0,0.9545454545454546,2.128042471620715,21,0,0,0,0,0,0,1,0,0
bayesfl_observability_v1,,23,23,1,75,329.5695305074107,329.5695305074107,2.470793842880754,-258.1601729750991,204.86434665002602,13,synthetic,,,static,,,,-0.0,8,1.0,2.3277319754160017,0,0,0,0,0,0,0,0,83,0
bayesfl_observability_v1,,24,24,1,143,413.5419178369083,413.5419178369083,3.5761099207991176,-375.11285908265756,-174.08980659149032,13,synthetic,,,static,,,,0.03835078340871136,6,0.9936708860759493,2.278067287918738,0,0,0,0,0,0,157,0,1,0
bayesfl_observability_v1,,25,25,2,5,479.06110685758097,479.06110685758097,1.386012514368108,88.0198280802894,470.9055679946107,12,synthetic,,,static,,,,-0.0,3,1.0,2.28098669344155,0,0,0,5,0,0,0,0,0,0
bayesfl_observability_v1,,26,26,2,5,294.1450875328441,294.1450875328441,0.13079865118838344,291.6325134413711,38.36417109195839,12,synthetic,,,static,,,,-0.0,9,1.0,2.311121424016332,0,0,0,0,0,0,0,0,0,5
bayesfl_observability_v1,,27,27,2,5,34.926743227516376,34.926743227516376,2.424058602647788,-26.31483696378515,22.965337969432714,12,synthetic,,,static,,,,-0.0,9,1.0,2.311121424016332,0,0,0,0,0,0,0,0,0,5
bayesfl_observability_v1,,28,28,2,561,203.24444994514093,203.24444994514093,3.955662608116106,-139.53644353568464,-147.7764776915311,12,synthetic,,,static,,,,0.2117707884379603,2,0.9454253611556982,2.0910923064501823,0,34,589,0,0,0,0,0,0,0
bayesfl_observability_v1,,29,29,2,1150,458.3527672480624,458.3527672480624,2.663154714480116,-406.88670356419453,211.0224388699452,12,synthetic,,,static,,,,-0.0,4,1.0,2.3292713582565514,0,0,0,0,1277,0,0,0,0,0
bayesfl_observability_v1,,30,30,2,189,247.4723068152236,247.4723068152236,0.33109398170456106,234.03141279273453,80.44774991685505,12,synthetic,,,static,,,,0.11251593411963928,3,0.9761904761904762,2.1691882529070243,0,0,0,205,0,0,0,0,0,5
